age,d18o
-0.05,-35.19
0,-35.19
0,-34.83
0.05,-34.83
0.05,-35.05
0.1,-35.05
0.1,-35.45
0.15,-35.45
0.15,-35.42
0.2,-35.42
0.2,-35.63
0.25,-35.63
0.25,-35.8
0.3,-35.8
0.3,-35.62
0.35,-35.62
0.35,-35.48
0.4,-35.48
0.4,-35.36
0.45,-35.36
0.45,-35.41
0.5,-35.41
0.5,-35.1
0.55,-35.1
0.55,-35.27
0.6,-35.27
0.6,-35.67
0.65,-35.67
0.65,-35.33
0.7,-35.33
0.7,-35.38
0.75,-35.38
0.75,-35.63
0.8,-35.63
0.8,-35.49
0.85,-35.49
0.85,-35.3
0.9,-35.3
0.9,-35.66
0.95,-35.66
0.95,-35.01
1,-35.01
1,-35.09
1.05,-35.09
1.05,-35.58
1.1,-35.58
1.1,-35.51
1.15,-35.51
1.15,-35.34
1.2,-35.34
1.2,-35.27
1.25,-35.27
1.25,-35.26
1.3,-35.26
1.3,-35.09
1.35,-35.09
1.35,-35.2
1.4,-35.2
1.4,-35.09
1.45,-35.09
1.45,-35.68
1.5,-35.68
1.5,-35.42
1.55,-35.42
1.55,-34.84
1.6,-34.84
1.6,-35.68
1.65,-35.68
1.65,-35.22
1.7,-35.22
1.7,-35.72
1.75,-35.72
1.75,-35.43
1.8,-35.43
1.8,-35.19
1.85,-35.19
1.85,-34.66
1.9,-34.66
1.9,-35.03
1.95,-35.03
1.95,-35
2,-35
2,-35.12
2.05,-35.12
2.05,-35.19
2.1,-35.19
2.1,-35.6
2.15,-35.6
2.15,-35.33
2.2,-35.33
2.2,-34.77
2.25,-34.77
2.25,-34.99
2.3,-34.99
2.3,-35.1
2.35,-35.1
2.35,-34.93
2.4,-34.93
2.4,-35.65
2.45,-35.65
2.45,-35.25
2.5,-35.25
2.5,-35.11
2.55,-35.11
2.55,-35.29
2.6,-35.29
2.6,-35.32
2.65,-35.32
2.65,-35.19
2.7,-35.19
2.7,-34.86
2.75,-34.86
2.75,-34.96
2.8,-34.96
2.8,-35.14
2.85,-35.14
2.85,-35.03
2.9,-35.03
2.9,-34.64
2.95,-34.64
2.95,-34.98
3,-34.98
3,-35.19
3.05,-35.19
3.05,-34.91
3.1,-34.91
3.1,-35.02
3.15,-35.02
3.15,-35.17
3.2,-35.17
3.2,-35.08
3.25,-35.08
3.25,-35.15
3.3,-35.15
3.3,-34.91
3.35,-34.91
3.35,-34.81
3.4,-34.81
3.4,-35.07
3.45,-35.07
3.45,-35
3.5,-35
3.5,-34.96
3.55,-34.96
3.55,-35.13
3.6,-35.13
3.6,-34.49
3.65,-34.49
3.65,-34.63
3.7,-34.63
3.7,-35.06
3.75,-35.06
3.75,-35.05
3.8,-35.05
3.8,-35.21
3.85,-35.21
3.85,-35.11
3.9,-35.11
3.9,-35.07
3.95,-35.07
3.95,-34.73
4,-34.73
4,-35.02
4.05,-35.02
4.05,-35.25
4.1,-35.25
4.1,-34.96
4.15,-34.96
4.15,-34.65
4.2,-34.65
4.2,-35.19
4.25,-35.19
4.25,-34.65
4.3,-34.65
4.3,-35.1
4.35,-35.1
4.35,-34.99
4.4,-34.99
4.4,-34.65
4.45,-34.65
4.45,-35
4.5,-35
4.5,-34.45
4.55,-34.45
4.55,-34.87
4.6,-34.87
4.6,-35.05
4.65,-35.05
4.65,-34.78
4.7,-34.78
4.7,-34.6
4.75,-34.6
4.75,-34.85
4.8,-34.85
4.8,-34.74
4.85,-34.74
4.85,-34.4
4.9,-34.4
4.9,-34.72
4.95,-34.72
4.95,-34.76
5,-34.76
5,-34.65
5.05,-34.65
5.05,-34.98
5.1,-34.98
5.1,-34.41
5.15,-34.41
5.15,-34.68
5.2,-34.68
5.2,-35.09
5.25,-35.09
5.25,-34.97
5.3,-34.97
5.3,-35.02
5.35,-35.02
5.35,-34.64
5.4,-34.64
5.4,-34.56
5.45,-34.56
5.45,-34.51
5.5,-34.51
5.5,-34.82
5.55,-34.82
5.55,-34.63
5.6,-34.63
5.6,-35.09
5.65,-35.09
5.65,-34.75
5.7,-34.75
5.7,-34.62
5.75,-34.62
5.75,-34.82
5.8,-34.82
5.8,-34.22
5.85,-34.22
5.85,-34.73
5.9,-34.73
5.9,-34.96
5.95,-34.96
5.95,-34.93
6,-34.93
6,-34.83
6.05,-34.83
6.05,-34.4
6.1,-34.4
6.1,-34.81
6.15,-34.81
6.15,-34.77
6.2,-34.77
6.2,-34.8
6.25,-34.8
6.25,-34.78
6.3,-34.78
6.3,-34.65
6.35,-34.65
6.35,-34.35
6.4,-34.35
6.4,-34.55
6.45,-34.55
6.45,-35.08
6.5,-35.08
6.5,-34.47
6.55,-34.47
6.55,-34.61
6.6,-34.61
6.6,-34.54
6.65,-34.54
6.65,-34.51
6.7,-34.51
6.7,-34.72
6.75,-34.72
6.75,-34.66
6.8,-34.66
6.8,-34.54
6.85,-34.54
6.85,-34.77
6.9,-34.77
6.9,-34.6
6.95,-34.6
6.95,-34.79
7,-34.79
7,-34.7
7.05,-34.7
7.05,-34.81
7.1,-34.81
7.1,-34.82
7.15,-34.82
7.15,-34.61
7.2,-34.61
7.2,-34.91
7.25,-34.91
7.25,-34.69
7.3,-34.69
7.3,-34.43
7.35,-34.43
7.35,-34.41
7.4,-34.41
7.4,-34.52
7.45,-34.52
7.45,-34.69
7.5,-34.69
7.5,-34.23
7.55,-34.23
7.55,-34.33
7.6,-34.33
7.6,-34.39
7.65,-34.39
7.65,-34.42
7.7,-34.42
7.7,-34.06
7.75,-34.06
7.75,-34.25
7.8,-34.25
7.8,-34.89
7.85,-34.89
7.85,-34.54
7.9,-34.54
7.9,-34.13
7.95,-34.13
7.95,-34.63
8,-34.63
8,-34.65
8.05,-34.65
